day,lot_number,title,estimate_low,estimate_high,current_bid,bid_count,image_count,url
day3,3007,"EMANUEL FREMIET (FRANCE, 1824-1910)",600,800,250,3,3,https://live.thomastonauction.com/auction-lot/emanuel-fremiet-france-1824-1910_5a4907fae7
day3,3415,"EMILY LANSINGH MUIR (IL/ME, 1904-2003)",300,500,100,3,1,https://live.thomastonauction.com/auction-lot/emily-lansingh-muir-il-me-1904-2003_f7e6ee6f5b
day3,3416,"EMILY MUIR (NY/ME, 1904-2003)",2500,3000,1200,3,4,https://live.thomastonauction.com/auction-lot/emily-muir-ny-me-1904-2003_46c8cca7db
day3,3382,"ERIC HOPKINS (ME/CT, 1951 - )",2000,3000,1000,3,5,https://live.thomastonauction.com/auction-lot/eric-hopkins-me-ct-1951_dc0625b9ae
day3,3405,"ERIK MINZNER (ME, CONTEMPORARY)",1000,2000,500,3,4,https://live.thomastonauction.com/auction-lot/erik-minzner-me-contemporary_9225a44bd7
day3,3157,"F.W. KRAUSE GOTHIC REVIVAL SIDE CHAIRS",1000,2000,500,3,2,https://live.thomastonauction.com/auction-lot/f-w-krause-gothic-revival-side-chairs_8ddc61b33c
day3,3321,"FERNAND LEGER (CT/CA/FRANCE, 1881-1955)",700,900,250,3,4,https://live.thomastonauction.com/auction-lot/fernand-leger-ct-ca-france-1881-1955_f001c12c03
day3,3132,"FERNAND OUILLON-CARRERE (CT/NY/FRANCE, 1879-1959",700,900,250,3,4,https://live.thomastonauction.com/auction-lot/fernand-ouillon-carrere-ct-ny-france-1879-1959_b936807262
day3,3005,"FISH SIGN WITH INSET SLATE",1500,2500,750,3,2,https://live.thomastonauction.com/auction-lot/fish-sign-with-inset-slate_7b2ef1deba
day3,3032,"FOOD VENDOR TRAILER",5000,10000,2500,3,4,https://live.thomastonauction.com/auction-lot/food-vendor-trailer_2063799695
day3,3218,"FOSTER CAMPOS AARON WILLARD STYLE BANJO CLOCK",1000,1500,500,3,4,https://live.thomastonauction.com/auction-lot/foster-campos-aaron-willard-style-banjo-clock_cbffe45752
day3,3099,"FRAMED FISCHER & MIEG PORCELAIN PLAQUE WITH HUNTING SCENE",1000,1500,500,3,4,https://live.thomastonauction.com/auction-lot/framed-fischer-mieg-porcelain-plaque-with-hunting_ee122bd221
day3,3079,"FRANCOIS LEON SICARD (FRANCE, 1862-1934)",3000,5000,1500,3,4,https://live.thomastonauction.com/auction-lot/francois-leon-sicard-france-1862-1934_173ab902e1
day3,3106,"FREDERICK CARDER FOR STEUBEN ""STRAWBERRY MANSION"" GLASS URN",800,1200,250,3,4,https://live.thomastonauction.com/auction-lot/frederick-carder-for-steuben-strawberry-mansion-g_aa45b86b9b
day3,3253,"FREDERICK LYNCH (ME,1935-2016)",1000,1500,500,3,3,https://live.thomastonauction.com/auction-lot/frederick-lynch-me-1935-2016_72595b59df
day3,3261,"FREDERICK LYNCH (ME,1935-2016)",1000,1500,500,3,3,https://live.thomastonauction.com/auction-lot/frederick-lynch-me-1935-2016_86ac880ba7
day3,3255,"FREDERICK LYNCH (ME,1935-2016)",1000,1500,500,3,4,https://live.thomastonauction.com/auction-lot/frederick-lynch-me-1935-2016_a026452b4a
day3,3263,"FREDERICK LYNCH (ME,1935-2016)",1000,1500,500,3,4,https://live.thomastonauction.com/auction-lot/frederick-lynch-me-1935-2016_acb46d5c3a
day3,3258,"FREDERICK LYNCH (ME,1935-2016)",1000,1500,500,3,3,https://live.thomastonauction.com/auction-lot/frederick-lynch-me-1935-2016_ca1c8a3086
day3,3251,"FREDERICK LYNCH (ME,1935-2016)",600,800,250,3,5,https://live.thomastonauction.com/auction-lot/frederick-lynch-me-1935-2016_e8758ba4a2
day3,3249,"FREDERICK LYNCH (ME,1935-2016)",400,600,100,3,4,https://live.thomastonauction.com/auction-lot/frederick-lynch-me-1935-2016_f86adcc3ef
